No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
2114,MASJID DARUL IHSAN,"KG. TANJONG TUANG, SAMARAHAN",SARAWAK,SAMARAHAN,,
2115,MASJID LANGGAR (TUNKU KALSOM),"MUKIM LANGGAR, 06500 LANGGAR.",KEDAH,KOTA SETAR,,
2116,MASJID LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200 SUBANG,SELANGOR,PETALING,172093721,
2117,MASJID KAMPUNG BANDAR/ SUNGAI MUN,"KENCHAU, 27200 KUALA LIPIS.",PAHANG,LIPIS,,
2118,MASJID DARUL SALAM,"KG. TAMBAY, SAMARAHAN",SARAWAK,SAMARAHAN,,
2119,MASJID HIDAYAH AL MUSTAQIM,"KG. KINABUTAN KECIL BATU 4, JALAN APAS",SABAH,TAW - TAWAU,089-771027,089-748180
2120,MASJID LENGKUAS (AZ-ZAITUN),MUKIM LENGKUAS 06200 KEPALA BATAS.,KEDAH,KOTA SETAR,,
2121,MASJID AN - NUR,"KAMPUNG MELAYU SUBANG, 40150 SHAH ALAM",SELANGOR,PETALING,173517689,
2122,MASJID KAMPUNG PETOLA,"KECHAU, 27200 KUALA LIPIS.",PAHANG,LIPIS,,
2123,MASJID LEPAI,"MUKIM LEPAI, 05350 ALOR SETAR.",KEDAH,KOTA SETAR,,
2124,MASJID DARUL IBADAH,"KG. PENGKALAN KUAP, SAMARAHAN",SARAWAK,SAMARAHAN,,
2125,MASJID DARUL SALIHIN,"KG. TANJUNG PARANG, SAMARAHAN",SARAWAK,SAMARAHAN,,
2126,MASJID LIMBONG,"MUKIM LIMBONG, 06500 LANGGAR.",KEDAH,KOTA SETAR,,
2127,MASJID FELDA KECHAU 1,"KECHAU, KUALA LIPIS.",PAHANG,LIPIS,,
2128,MASJID AL - IKHLAS,"INSTITUT PENYELIDIKAN GETAH MALAYSIA, STESEN PERCUBAAN GETAH ( LGM ), 47000 SG. BULOH",SELANGOR,PETALING,192766311,
2129,MASJID AL-IMAN,"KG. RANCANGAN SERUDUNG BARU, BATU 18 JALAN QUEEN HILL, 91007 TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2130,MASJID DARUL HANA,"KG. ENDAP, SAMARAHAN",SARAWAK,SAMARAHAN,,
2131,MASJID KAMPUNG BINJAI,"BATU 3, PENJOM, 27200 KUALA LIPIS.",PAHANG,LIPIS,,
2132,MASJID MERGONG ('UBUDIYYAH),"JALAN PUTERA, MUKIM MERGONG 05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2133,MASJID AT - TAQWA,"DESA SUBANG PERMAI, 40150 SHAH ALAM",SELANGOR,PETALING,192728143,
2134,MASJID NURUL ISLAM,"KG. PINANG, SAMARAHAN",SARAWAK,SAMARAHAN,,
2135,MASJID KAMPUNG SALANG,"KAMPUNG SALANG, BATU 4, PENJOM, KUALA LIPIS",PAHANG,LIPIS,,
2136,MASJID PANGKALAN TUDM SUBANG,"PANGKALAN TUDM SUBANG, 40000 SHAH ALAM",SELANGOR,PETALING,,
2137,MASJID AN NAJAH,"DAERAH ASAJAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
2138,MASJID BANDAR BARU SG. BULOH,"BANDAR BARU SG. BULOH, 47000 SUNGAI BULOH",SELANGOR,PETALING,,
2139,MASJID KAMPUNG LALANG,"KAMPUNG LALANG, PENJOM, 27200 KUALA LIPIS",PAHANG,LIPIS,,
2140,MASJID DARUL JALIL,"KG. REBAK,ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2141,MASJID AL - HUDA,"BATU 15, KG. PAYA JARAS, 47000 SG. BULOH",SELANGOR,PETALING,,
2142,MASJID PADANG HASSAN,"MUKIM LENGKUAS, 06200 KEPALA BATAS.",KEDAH,KOTA SETAR,,
2143,MASJID NURUL IMAN,"KG. SG. JURAGAN, 91007 TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2144,MASJID PADANG LALANG (AL-MAHMUDI),"JALAN PUTERA, 06250 ALOR SETAR.",KEDAH,KOTA SETAR,,
2145,MASJID JAMEK KG. SG. PLONG,"BATU 16, KG. SG. PLONG, 47000 SG. BULOH",SELANGOR,PETALING,133940263,
2146,MASJID DARUL EKHSAN,"Kampung ASAJAYA LAUT,ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2147,MASJID KAMPUNG SAMA,"JERKOH, PENJOM, 27200 KUALA LIPIS",PAHANG,LIPIS,,
2148,MASJID PADANG PETANI (NURUL IMAN),"MUKIM LIMBONG,06500 LANGGAR.",KEDAH,KOTA SETAR,,
2149,MASJID NURUL AMIN,"BATU 18, KG. MERBAU SEMPAK, 47000 SG. BULOH",SELANGOR,PETALING,192808241,
2150,MASJID DARUL EHSAN,"KG. SERPAN LAUT, ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2151,MASJID JAMEK JAMIUL EHSAN,"KAMPUNG KUBU GAJAH, 47000 SG. BULOH",SELANGOR,PETALING,196932448,
2152,MASJID SAIDINA ALI BIN ABI TALIB,"KAMPUNG TEMPOYANG, PENJOM, 27200 KUALA LIPIS",PAHANG,LIPIS,,
2153,MASJID DARUL NAIM,"KG. MOYAN LAUT, ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2154,MASJID BATU 6 PENJOM,"PENJOM, 27200 KUALA LIPIS",PAHANG,LIPIS,,
2155,MASJID SBRG PANTAI JOHOR (HALIM SHAH),"MUKIM PUMPONG, 05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2156,MASJID JAMEK QARYAH SERDANG (MASJID UPM),"UNIVERSITI PUTRA MALAYSIA, 43400 SERDANG",SELANGOR,PETALING,172686842,
2157,MASJID KG. BINTANG,"MUKIM 3, PESERAI, 83020 BATU PAHAT",JOHOR,BATU PAHAT,127064502,
2158,MASJID BUMIPUTRA,"KAMPUNG SEBANDI ULU, ASAJAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
2159,MASJID KAMPUNG RENGAI,"PENJOM, 27200 KUALA LIPIS.",PAHANG,LIPIS,,
2160,MASJID KAMPUNG SEMATANG,"MUKIM GUNONG,05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2161,MASJID DARUL HUDA,"KG. SEBANDI MATANG, ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2162,MASJID JAMEK ( LAMA ) KOMPLEKS PERTANIAN SERDANG,"BEG BERKUNCI 304, PEJABAT POS UPM, 43400 SERDANG",SELANGOR,PETALING,133611522,
2163,MASJID KAMPUNG JERANSANG,"TANJUNG BESAR, BENTA, 27310 LIPIS",PAHANG,LIPIS,,
2164,MASJID TAMAN WIRA (AR-RAHMAH),"MUKIM MERGONG, LEBUHRAYA SULTANAH BAHIYAH, 05350 ALOR SETAR",KEDAH,KOTA SETAR,,
2165,MASJID JAMEK BATU 14 PUCHONG,"JALAN PUCHONG, 47100 PUCHONG",SELANGOR,PETALING,193576326,
2166,MASJID KAMPUNG PERLONG,"TANJUNG BESAR, BENTA, 23710 LIPIS",PAHANG,LIPIS,,
2167,MASJID NURUL HUDA,"KG. JAWA GADING, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2168,MASJID BATU 12 PUCHONG,"BATU 12 JALAN KLANG,47100 PUCHONG",SELANGOR,PETALING,000-000000000,00-000000000
2169,MASJID DARUL RAHMAH,"KG. TAMBIRAT, ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2170,MASJID KAMPUNG TAMPIN / BUKIT BELAU,"TANJUNG BESAR, BENTA, 23710 LIPIS",PAHANG,LIPIS,,
2171,MASJID SEBERANG PUMPONG (AL-HUSIN),MUKIM PUMPONG. 05150 ALOR SETAR.,KEDAH,KOTA SETAR,,
2172,MASJID MAIMUNAH,"KG. SRI TAJO, TAMBIRAT, ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2173,MASJID RAUDHATUL JANNAH,"KG. KINABUTAN BESAR, BATU 5, JALAN APAS, TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2174,MASJID KAMPUNG KEMAHANG,"TANJUNG BESAR, BENTA, 23710 LIPIS",PAHANG,LIPIS,,
2175,MASJID TAMAN UDA (RAFEAH),"LEBUHRAYA SULTANAH BAHIYAH,05350 ALOR SETAR.",KEDAH,KOTA SETAR,,
2176,MASJID AL- HIDAYAH 1,"KG. HIDAYAT, BATU 4.5, JALAN APAS, 91007 TAWAU",SABAH,TAW - TAWAU,,
2177,MASJID DARUL EHSAN,"KG. TANJONG APONG, ASAJAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2178,MASJID AL - EHSAN,"BANDAR KINRARA, NO.9, JALAN BK 5/2, BANDAR KINRARA, 47100 PUCHONG",SELANGOR,PETALING,126664952,
2179,MASJID JAMEK KAMPUNG TANJUNG BESAR,"BENTA, 23710 LIPIS",PAHANG,LIPIS,,
2180,MASJID SEBERANG CHEGAR (ASMA'),"MUKIM ANAK BUKIT, 05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2181,MASJID BAITUR RAHMAN,"BATU 8, JALAN KALABAKAN, 91007 TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2182,MASJID NURUL IMAN,"PEKAN KALABAKAN, 91007 TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2183,MASJID SEBERANG KOTA ( AL-MA'RUF),"MUKIM KUALA KEDAH, 06600 KUALA KEDAH.",KEDAH,KOTA SETAR,,
2184,MASJID AL - ISTIQOMAH,"120 KG. SRI LANGKAS TAMBAHAN, BATU 13, JALAN KLANG LAMA, 47100 PUCHONG",SELANGOR,PETALING,176421854,
2185,MASJID AL MUHAJIRIN,"FELDA GUGUSAN UMAS-UMAS, 91007 TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2186,MASJID DAERAH SERIAN,"BAHAGIAN SERIAN, SARAWAK.",SARAWAK,SERIAN,138066262,
2187,MASJID AR-RAHMAN KAMPUNG KUALA TELANG,"BERHALA ( KUALA TELANG ), KUALA TELANG, 27200 LIPIS",PAHANG,LIPIS,,
2188,MASJID SEBERANG NYONYA (TUNKU ABDUL RAHMAN PUTRA ),"SEBERANG NYONYA,06600 KUALA KEDAH.",KEDAH,KOTA SETAR,,
2189,MASJID BABUL KHAIR,"KG. TANJUNG BATU TENGAH TANAH MERAH, TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2190,MASJID DARUL AMALIAH,"KAMPUNG TANAH PUTIH, SERIAN.",SARAWAK,SERIAN,013-8476630,
2191,MASJID AL - AMIN,"TAMAN TENAGA, JALAN PUCHONG, 47100 PUCHONG",SELANGOR,PETALING,122122635,
2192,MASJID BAITUR RAHMAN,"KG. MUHIBBAH BAL, JALAN KUHARA, 91007 TAWAU.",SABAH,TAW - TAWAU,089-771027,089-748180
2193,MASJID SEBERANG PERAK (AL-EHSAN),"MUKIM ALOR SETAR, 05050 ALOR SETAR.",KEDAH,KOTA SETAR,,
2194,MASJID KAMPUNG BAPONG,"TELANG, 27200 LIPIS",PAHANG,LIPIS,,
2195,MASJID NURUL IMAN,"LORONG 3, KG. TENGAH B, BATU 13, 47100 PUCHONG",SELANGOR,PETALING,163860323,
2196,MASJID AL-MUNAWWARAH,"KG. TANJUNG BATU KERAMAT LAUT, TAWAU",SABAH,TAW - TAWAU,,
2197,MASJID SELARONG BATANG (AT-TAQWA),"BATU 8, 06650 SIMPANG EMPAT.",KEDAH,KOTA SETAR,,
2198,MASJID DARUL HAFSAH,"KAMPUNG LINTANG BARU, BATU 28, SERIAN, SARAWAK.",SARAWAK,SERIAN,198771104,
2199,MASJID LAPIS MAIMON,"MUKIM 4, 83500 PARIT SULONG, BATU PAHAT",JOHOR,BATU PAHAT,,
2200,MASJID KAMPUNG KECHAU TUI,"TELANG, PADANG TENGKU, 27100 LIPIS",PAHANG,LIPIS,,
2201,MASJID SIMPANG EMPAT KUAR,"MUKIM PADANG. LALANG, 06250 ALOR SETAR.",KEDAH,KOTA SETAR,,
2202,MASJID NURUL HUDA,"KG. KENANGAN, BATU 13, JALAN KLANG, 47100 PUCHONG",SELANGOR,PETALING,178889331,
2203,MASJID DARUL ARQAM,"KAMPUNG SUNGAI BANDONG, SERIAN, SARAWAK.",SARAWAK,SERIAN,145870569,
2204,MASJID SIMPANG KUALA (AL-AMAN),"JALAN. KUALA KEDAH, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
2205,MASJID NURUL IMAN,"BATU 2 1/2, JALAN APAS, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2206,MASJID KAMPUNG BELETIK,"TELANG, 27200 LIPIS",PAHANG,LIPIS,,
2207,MASJID DARUL AS-SYUHADA,"KAMPUNG SENIAWAN, JALAN ENSENGEI, SERIAN.",SARAWAK,SERIAN,135681800,
2208,MASJID AL - ISLAH,"NO. 16, JALAN SR 7 / 7, SERDANG RAYA, 43300 SERI KEMBANGAN",SELANGOR,PETALING,,
2209,MASJID AL MUNAWWAR,"KG. SUNGAI UDIN, jalan merotai - kalabakan, TAWAU.",SABAH,TAW - TAWAU,,
2210,MASJID KAMPUNG BERCHANG,"KAMPUNG BERCHANG TELANG, 27100 LIPIS",PAHANG,LIPIS,,
2211,MASJID DARUL SOLIHIN,"KAMPUNG JAWA SUNGAI MENAUL, JALAN ENSENGEI, SERIAN, SARAWAK.",SARAWAK,SERIAN,138145069,
2212,MASJID AN-NUR,"KG. PASIR PUTIH, JALAN SIN SAN, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2213,MASJID RIADHUS SOLIHIN,"JALAN 5/ 4, SERDANG JAYA, 43300 SERI KEMBANGAN",SELANGOR,PETALING,132607446,
2214,MASJID SUKA MENANTI (LUTFI),"KG SUKA MENANTI, MUKIM PUMPONG 05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2215,MASJID KAMPUNG SEBERANG JELAI,"TELANG, 27100 LIPIS",PAHANG,LIPIS,199665470,
2216,MASJID SULTANAH BAHIYAH,"LEBUHRAYA SULTANAH BAHIYAH, 05350 ALOR SETAR.",KEDAH,KOTA SETAR,,
2217,MASJID NURUL HIDAYAH,"KG. BRANTIAN, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2218,MASJID KAMPUNG LUBUK KULIT,"TELANG, 27200 LIPIS",PAHANG,LIPIS,,
2219,MASJID JAMEK,"KAMPUNG MELAYU, BALAI RINGIN, SERIAN, SARAWAK.",SARAWAK,SERIAN,168139632,
2220,MASJID JAMIUL HASANAT,"BATU 10 , 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,019-3724843,
2221,MASJID AL-MUKARRAMAH,"KG. TANJUNG BATU KERAMAT, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2222,MASJID DARUL TAQWA,"KAMPUNG SORAK MELAYU, JALAN MENTONG, SERIAN, SARAWAK.",SARAWAK,SERIAN,1119691154,
2223,MASJID KAMPUNG BERTANG,"BUKIT BETONG, ULU JELAI, 27200 LIPIS",PAHANG,LIPIS,,
2224,MASJID SUNGAI BARU HILIR (AL-ITTIHAD),"MUKIM SUNGAI BARU, 05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2225,MASJID AL-HIKMAH,"IBU PEJABAT POLIS GERAKAN AM (pga) BATALION 14, BAHAGIAN AIR PANAS, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2226,MASJID NURUL ISLAM,"BLOK Y ( ONE ), PARIT 2 BAN 4, SUNGAI BURONG 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,017-6162732,
2227,MASJID DARUL RAHNA,"KAMPUNG RIMBA PADI, JALAN ENSENGEI, SERIAN, SARAWAK.",SARAWAK,SERIAN,105911027,
2228,MASJID RPSB KUALA MEDANG,"KAMPUNG KUALA MEDANG, SUNGAI KOYAN, RAUB",PAHANG,LIPIS,,
2229,MASJID AL- FALAH,"KG. SENTOSA, BLOK 5, JALAN UTARA BARU, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2230,MASJID AL-MUNAWWARAH BLOK S,BLOK S SAWAH SEMPADAN 45500 TG. KARANG,SELANGOR,KUALA SELANGOR,013-2694667,
2231,MASJID PARIT LAPIS LAMAN,"MUKIM 4, 83500 PARIT SULONG, BATU PAHAT",JOHOR,BATU PAHAT,,
2232,MASJID SUNGAI BARU (HIDAYATUS SOLIHIN),"MUKIM GUNONG, 05150 ALOR SETAR.",KEDAH,KOTA SETAR,,
2233,MASJID DARUL ABRAR,"KAMPUNG LUBOK RIA, JALAN ENSENGEI, SERIAN.",SARAWAK,SERIAN,138297645,
2234,MASJID NURUL EHSAN,"KG. SERI TIRAM JAYA, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,019-3449130,
2235,MASJID NURUT TAQWA,"KG. SADDANI, BATU 2, JALAN APAS, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2236,MASJID SAIDINA UMAR AL-KHATTAB KAMPUNG TANJUNG GAH,KAMPUNG TANJUNG GAHAI,PAHANG,LIPIS,,
2237,MASJID KIAYI MUKRI BLOK G,"JALAN RADIN PUTIH,SAWAH SEMPADAN,45500 TG. KARANG",SELANGOR,KUALA SELANGOR,,
2238,MASJID BABUL KHAIR,"KG. TITINGAN UJUNG, PETI SURAT NO.258, 91000, TAWAU.",SABAH,TAW - TAWAU,,
2239,MASJID DARUL IMAN,"KAMPUNG JAYA RIA, JALAN ENGSENGEI, SERIAN,SARAWAK.",SARAWAK,SERIAN,198655996,
2240,MASJID DARUL EHSAN,"KAMPUNG REBAN, SERIAN,SARAWAK.",SARAWAK,SERIAN,1115012617,
2241,MASJID JAMIUL AHMADY,"SG TENGI KANAN BAROH, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,019-3773541,
2242,MASJID AL TAQWA KAMPUNG KUALA SERAU,"KUALA SERAU, ULU JELAI, 27650 LIPIS",PAHANG,LIPIS,,
2243,MASJID SUNGAI MATI (AL-EHSAN),"JALAN SUNGAI MATI, 06500 LANGGAR.",KEDAH,KOTA SETAR,,
2244,MASJID SIRATHOL MUSTAKIM,"KG. PUKAT, TG. BATU LAUT, TAWAU.",SABAH,TAW - TAWAU,,
2245,MASJID DARUL TAQWA,"KAMPUNG MELAYU TEBAKANG, SERIAN, SARAWAK.",SARAWAK,SERIAN,,
2246,MASJID SULTAN HAJI AHMAD SHAH FELDA SUNGAI KOYAN,"ULU JELAI, 27650 RAUB.",PAHANG,LIPIS,014-5017921,
2247,MASJID TANDOP,"BATU 3, TANDOP, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
2248,MASJID AL - AMIRIAH,"BLOK J SAWAH SEMPADAN, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,017-3475687,
2249,MASJID AN - NUR,"KG. KUNCI AIR BUANG, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,013-3490325,
2250,MASJID TANJUNG BENDAHARA (AL-AZIZ),"JALAN TANJUNG BENDAHARA, 05300 ALOR SETAR.",KEDAH,KOTA SETAR,,
2251,MASJID KAMPUNG MENTARA BARU,"MERAPOH, BATU YON 11, 27200 LIPIS",PAHANG,LIPIS,,
2252,MASJID PUSAT SERENTI BENTA,"PENJOM, 27200 LIPIS",PAHANG,LIPIS,,
2253,MASJID DARUL HIJRAH,"LOT818 TAMAN HIJRAH,94800, SIMUNJAN, SARAWAK.",SARAWAK,SIMUNJAN,013-5694926,
2254,MASJID DARUS SOLIHIN,"BLOK D, SAWAH SEMPADAN, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,019-6765784,
2255,MASJID TEBENGAU (AS-SA'ADAH),"MUKIM TEBENGAU, 06600 KUALA KEDAH.",KEDAH,KOTA SETAR,,
2256,MASJID AL-FALAHIAH BLOK P,PARIT 4 BAN 2 45500 TANJUNG KARANG,SELANGOR,KUALA SELANGOR,016-3445977,
2257,MASJID TELAGA MAS,"MUKIM TELAGA MAS, 06400 POKOK SENA.",KEDAH,KOTA SETAR,,
2258,MASJID JAMEK AT - TAQWA,"SUNGAI TENGI KANAN DARAT, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,019-3722795,
2259,MASJID TELOK BULANG (AL-ISLAH),"MUKIM TEBENGAU, 06600 KUALA KEDAH.",KEDAH,KOTA SETAR,,
2260,MASJID HAYATUL ISLAM,"KG. LUBOK PUNGGOR, SIMUNJAN, SAMARAHAN",SARAWAK,SIMUNJAN,,
2261,MASJID AS - SOLIHIN,"BLOK 1 TALI AIR 2 SG. BURONG, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,012-3375677,
2262,MASJID DARUL IMAN,KAMPUNG GUMPEY,SARAWAK,GEDONG,135673364,
2263,MASJID KAMPUNG LUIT,KAMPUNG LUIT 26500 MARAN.,PAHANG,MARAN,,
2264,MASJID JAMIE AT-TUQA,"LORONG 8 SG. SIREH, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,017-2788106,
2265,MASJID AL KAWTHAR,"MASJID AL KAWTHAR, DAERAH GEDONG",SARAWAK,GEDONG,1112012371,
2266,MASJID AL-UBUDIAH,"KG. JALAN DAMAI, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2267,MASJID ULU LUIT,"LUIT, 26500 MARAN.",PAHANG,MARAN,,
2268,MASJID AL - MUFLIHIN,"BLOK H PARIT 3 BAN 2 SG. BURONG, 45400 SEKINCHAN",SELANGOR,KUALA SELANGOR,012-6439604,
2269,MASJID TELOK BAGAN (AL-IRSYAD),"JALAN TELUK BAGAN, MUKIM PENGKALAN KUNDUR, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
2270,MASJID AT-TAQWA,"KAMPUNG SENGGORA, 26500 MARAN.",PAHANG,MARAN,,
2271,MASJID NURUL MUHSININ,KAMPUNG TANJUNG HARAPAN,SARAWAK,SIMUNJAN,,
2272,MASJID JAMEK SG BURONG,"BATU 12, SG. BURONG, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,013-2109161,
2273,MASJID DARUL TAQWA,KAMPUNG SUNGAI APIN,SARAWAK,SIMUNJAN,,
2274,"MASJID JAME' KAMPUNG LUBUK PAKU,",KAMPUNG LUBUK PAKU 26500 MARAN.,PAHANG,MARAN,,
2275,MASJID TELOK CHENGAI,"JLN KUALA KEDAH MUKIM TELUK CHENGAI, 06600 KUALA KEDAH.",KEDAH,KOTA SETAR,,
2276,MASJID AL- AIMAN,"KAMPUNG KUALA WAU, 26500 MARAN.",PAHANG,MARAN,,
2277,MASJID IMAM GUMBA,"KG. LAHAD-LAHAD, SUNGAI PUKUL, PULAU SEBATIK, TAWAU.",SABAH,TAW - TAWAU,,
2278,MASJID NURUL HUDA,"KG. ENGENGEI, SIMUNJAN, SAMARAHAN",SARAWAK,SIMUNJAN,,
2279,MASJID AS SHOLIHIN,"KG. HJ. MATAHIR, JALAN MEROTAI, TAWAU.",SABAH,TAW - TAWAU,,
2280,MASJID AT - TAUFIQIAH,"BATU 14, PARIT 4, SG. BURONG, 45500 TG. KARANG",SELANGOR,KUALA SELANGOR,010-4226012,
2281,MASJID UBBUDIAH,"FELDA LEPAR HILIR 3, 26030 GAMBANG.",PAHANG,KUANTAN BARAT,,
2282,MASJID TELOK JUNUS,"MUKIM PADANG HANG, 06570 ALOR SETAR.",KEDAH,KOTA SETAR,,
2283,MASJID DARUL MUBIN,"LADANG PAHANG OIL PALM,SRI JAYA, 26030 MARAN.",PAHANG,MARAN,,
2284,MASJID AR - RAUDHAH,"JALAN BESAR, 45500 TG. KARANG.",SELANGOR,KUALA SELANGOR,019-6113086,
2285,MASJID TELOK KANDIS,"MUKIM DERGA, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
2286,MASJID TELOK KECHAI (AL-HUDA),"JALAN KUALA KEDAH, MUKIM TELOK KECHAI, 06600 KUALA KEDAH.",KEDAH,KOTA SETAR,,
2287,MASJID DARUL IMAN,"KG. TENGAH SEBUYAU, SEBUYAU, SAMARAHAN",SARAWAK,SIMUNJAN,,
2288,"MASJID LADANG MARAN, RICHLEY CORPORATION SDN. BHD","SRI JAYA, 26500 MARAN.",PAHANG,MARAN,,
2289,MASJID SILATURRAHIM,"KG. IBOI / PELANDOK, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2290,MASJID TITI GAJAH (TUAN HUSIN),"MUKIM TITI GAJAH, 06550 ALOR SETAR.",KEDAH,KOTA SETAR,,
2291,MASJID ( F ) KAMPUNG NEW ZEALAND,"MASJID FELDA KAMPUNG NEW ZEALAND,26500 MARAN",PAHANG,MARAN,,
2292,MASJID SHUHADA,KG. PISANG LADANG TABLE GOLDEN HOPE 1007 TAWAU.,SABAH,TAW - TAWAU,,
2293,MASJID TOK KELING (AN-NUR),"MUKIM DERGA, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
2294,MASJID BABUL JANNAH,"KG. SUNGAI GADING, BATU 17 JALAN WAKIBA, TAWAU.",SABAH,TAW - TAWAU,,
2295,MASJID AL- MAKMUR,"FELDA LEPAR HILIR 01, 26070 GAMBANG.",PAHANG,KUANTAN BARAT,,
2296,MASJID TOK TEMENGGONG,"MUKIM TAJAR, 06500 LANGGAR.",KEDAH,KOTA SETAR,,
2297,MASJID AL- HILAL,"FELDA LEPAR HILIR 02, 26030 GAMBANG.",PAHANG,KUANTAN BARAT,,
2298,MASJID BABUS SAADAH,"KG. MUHIBBAH RAYA, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2299,MASJID NURUL IMAN,"KG. KUALA MEROTAI, TAWAU",SABAH,TAW - TAWAU,,
2300,MASJID AT - TAUFIQIAH,"KAMPUNG SERI SENTOSA, BESTARI JAYA, 45600 BTG. BERJUNTAI",SELANGOR,KUALA SELANGOR,012-3689567,
2301,MASJID AMPANG JAJAR,"MUKIM MERGONG, 05050 ALOR SETAR.",KEDAH,KOTA SETAR,,
2302,MASJID AL-MAARUF,"KEBUN RIMAU LADANG TIGER, 91007 TAWAU.",SABAH,TAW - TAWAU,,
2303,MASJID DATUK AMAR HAJI ABD TAIB MAHMUD (BARU),"KAMPUNG JAIE, SADONG JAYA, SAMARAHAN, SARAWAK.",SARAWAK,ASA JAYA,,
2304,MASJID KAMPUNG BARU,"MUKIM TELAGA MAS, 06400 POKOK SENA.",KEDAH,KOTA SETAR,,
2305,MASJID KAMPUNG PAYA RAMBUTAN,KAMPUNG PAYA RAMBUTAN 26030 KUANTAN.,PAHANG,KUANTAN BARAT,,
2306,MASJID DARUL MUHSININ,"KG. SUNGAI PUTIN, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2307,MASJID BABUS SALAM,"KG. TG. BATU DARAT, TAWAU.",SABAH,TAW - TAWAU,,
2308,MASJID TAMBAK BUNGA (AS-SALAM),"JALAN KUALA KEDAH, 05400 ALOR SETAR.",KEDAH,KOTA SETAR,,
2309,MASJID KAMPUNG SERENGKAM,KAMPUNG SERENGKAM 26500 MARAN.,PAHANG,MARAN,,
2310,MASJID RIADZUSYALIHIN (BARU),"KG. SEMERA, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
2311,MASJID AL-AMIN,"KG. PISANG (HIIL TOP), 91007 TAWAU.",SABAH,TAW - TAWAU,,
2312,"MASJID NURUL IMAN blok s, sg burong","BLOK S, SG. BURONG, 45400 SEKINCHAN",SELANGOR,KUALA SELANGOR,013-2770248,
2313,MASJID MOHD ISKANDAR MAS TEMPAWAN,"BATU 2 1/2, JLN DATUK KUMBAR, 05300 ALOR SETAR.",KEDAH,KOTA SETAR,,
2314,MASJID KAMPUNG PAYA BUNGOR,KAMPUNG PAYA BUNGOR 26030 KUANTAN.,PAHANG,KUANTAN BARAT,,
2315,MASJID DARUL ISLAM,"KG. JEMUKAN, SADONG JAYA, SAMARAHAN",SARAWAK,ASA JAYA,,
